Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
1,2025-08-23,Bayer 04 Leverkusen,TSG Hoffenheim,1 - 2,0.996,0.6203,0,0,0,0,2,5,60,40,7,10,6,4
1,2025-08-24,Borussia Mönchengladbach,Hamburger SV,0 - 0,1.3094000000000001,0.4998,0,0,0,0,4,2,61,39,17,7,7,6
1,2025-08-23,Eintracht Frankfurt,Werder Bremen,4 - 1,2.3557,0.6893,0,0,0,0,5,5,53,47,18,10,7,1
1,2025-08-22,FC Bayern München,RB Leipzig,6 - 0,1.9459,0.7176,0,0,0,0,10,1,63,37,19,12,5,5
1,2025-08-23,FC Union Berlin,VfB Stuttgart,2 - 1,0.5825,1.936,0,0,0,0,2,6,25,75,8,21,5,11
1,2025-08-24,FSV Mainz 05,FC Köln,0 - 1,1.9466999999999999,1.1773,1,0,0,0,2,2,51,49,19,12,8,3
1,2025-08-23,Heidenheim,VfL Wolfsburg,1 - 3,0.8090999999999999,2.1578,0,0,0,1,2,5,49,51,7,15,2,5
1,2025-08-23,SC Freiburg,FC Augsburg,1 - 3,2.3185000000000002,1.5398,0,0,1,0,4,5,60,40,16,14,5,5
1,2025-08-23,St. Pauli,Borussia Dortmund,3 - 3,1.77,1.5555,0,1,1,1,7,7,51,49,11,8,5,2
2,2025-08-31,Borussia Dortmund,FC Union Berlin,3 - 0,1.9503,0.7005,0,0,0,0,6,3,65,35,11,12,4,6
2,2025-08-30,FC Augsburg,FC Bayern München,2 - 3,0.7808999999999999,2.6486,0,0,0,0,3,10,42,58,10,20,7,5
2,2025-08-31,FC Köln,SC Freiburg,4 - 1,2.0517,1.1568,0,0,0,0,6,2,39,61,18,12,3,5
2,2025-08-29,Hamburger SV,St. Pauli,0 - 2,0.2934,1.2488000000000001,1,0,0,0,2,6,48,52,5,17,2,5
2,2025-08-30,RB Leipzig,Heidenheim,2 - 0,2.6096999999999997,0.9981,0,0,0,0,5,3,66,34,19,5,4,3
2,2025-08-30,TSG Hoffenheim,Eintracht Frankfurt,1 - 3,1.3227,0.9848,0,0,0,0,5,6,58,42,17,9,4,5
2,2025-08-30,VfB Stuttgart,Borussia Mönchengladbach,1 - 0,0.8939999999999999,1.8513000000000002,0,0,0,0,5,6,51,49,13,15,6,10
2,2025-08-31,VfL Wolfsburg,FSV Mainz 05,1 - 1,0.6424,1.9435,1,0,0,1,3,3,40,60,11,17,3,10
2,2025-08-30,Werder Bremen,Bayer 04 Leverkusen,3 - 3,1.7051,1.8921999999999999,1,0,1,1,5,4,45,55,12,10,3,7
3,2025-09-12,Bayer 04 Leverkusen,Eintracht Frankfurt,3 - 1,2.1291,0.888,2,0,1,0,8,2,39,61,18,13,4,8
3,2025-09-14,Borussia Mönchengladbach,Werder Bremen,0 - 4,1.3587,1.8836,0,0,0,1,3,7,55,45,19,12,9,4
3,2025-09-13,FC Bayern München,Hamburger SV,5 - 0,2.7253,0.7661,0,0,1,0,12,2,71,29,22,9,5,3
3,2025-09-13,FC Union Berlin,TSG Hoffenheim,2 - 4,3.3154,2.8958,1,0,0,2,7,8,42,58,20,9,9,2
3,2025-09-13,FSV Mainz 05,RB Leipzig,0 - 1,1.1711,1.4063,0,0,0,0,2,3,56,44,13,19,3,5
3,2025-09-13,Heidenheim,Borussia Dortmund,0 - 2,0.41220000000000007,2.5023,1,0,0,0,1,8,25,75,6,17,5,4
3,2025-09-13,SC Freiburg,VfB Stuttgart,3 - 1,1.7658,0.7187000000000001,1,0,1,0,6,2,46,54,14,7,7,1
3,2025-09-14,St. Pauli,FC Augsburg,2 - 1,2.0959,0.6816000000000001,0,0,1,0,7,5,57,43,13,10,3,1
3,2025-09-13,VfL Wolfsburg,FC Köln,3 - 3,1.9888,1.5806999999999998,0,0,0,0,6,8,56,44,14,14,7,4
4,2025-09-21,Bayer 04 Leverkusen,Borussia Mönchengladbach,1 - 1,1.3823,0.8908999999999999,0,0,0,0,9,7,62,38,13,13,3,4
4,2025-09-21,Borussia Dortmund,VfL Wolfsburg,1 - 0,1.1259000000000001,0.7718999999999999,0,0,0,0,4,0,56,44,12,9,9,3
4,2025-09-21,Eintracht Frankfurt,FC Union Berlin,3 - 4,2.2424,1.3975,0,0,1,0,10,5,78,22,19,11,5,1
4,2025-09-20,FC Augsburg,FSV Mainz 05,1 - 4,1.1973,1.9807000000000001,0,1,0,0,5,4,61,39,18,12,6,6
4,2025-09-20,Hamburger SV,Heidenheim,2 - 1,2.6576,2.132199999999999,0,0,0,0,9,8,49,51,22,20,1,12
4,2025-09-20,RB Leipzig,FC Köln,3 - 1,3.5018,1.4908,0,0,0,0,8,2,47,53,18,13,9,5
4,2025-09-20,TSG Hoffenheim,FC Bayern München,1 - 4,0.8214,2.6837000000000004,0,0,0,2,4,10,38,62,13,18,5,5
4,2025-09-19,VfB Stuttgart,St. Pauli,2 - 0,2.0865,0.9357,0,0,1,0,8,2,54,46,17,9,8,4
4,2025-09-20,Werder Bremen,SC Freiburg,0 - 3,1.5184000000000002,1.7866,0,0,1,1,5,5,62,38,12,10,2,0
5,2025-09-27,Borussia Mönchengladbach,Eintracht Frankfurt,4 - 6,1.5241,2.3955,0,0,0,0,8,7,39,61,11,21,4,6
5,2025-09-26,FC Bayern München,Werder Bremen,4 - 0,3.5896,0.4094,0,0,1,0,13,3,59,41,26,9,7,6
5,2025-09-28,FC Köln,VfB Stuttgart,1 - 2,0.7557999999999999,2.0178,0,0,0,1,7,5,43,57,15,15,8,8
5,2025-09-28,FC Union Berlin,Hamburger SV,0 - 0,1.5157000000000003,1.3601,0,1,1,0,2,6,34,66,11,16,5,3
5,2025-09-27,FSV Mainz 05,Borussia Dortmund,0 - 2,0.5891000000000001,1.2648,1,0,0,0,2,4,49,51,8,10,7,5
5,2025-09-27,Heidenheim,FC Augsburg,2 - 1,1.3058,0.9272999999999999,0,0,0,0,5,2,48,52,11,8,3,2
5,2025-09-28,SC Freiburg,TSG Hoffenheim,1 - 1,1.2292999999999998,2.4156999999999997,0,0,0,0,1,4,43,57,6,15,6,8
5,2025-09-27,St. Pauli,Bayer 04 Leverkusen,1 - 2,0.8281000000000001,0.8874,0,0,0,0,6,4,49,51,13,5,13,1
5,2025-09-27,VfL Wolfsburg,RB Leipzig,0 - 1,2.8202000000000003,2.5595,0,0,0,1,4,6,51,49,22,20,6,11
6,2025-10-04,Bayer 04 Leverkusen,FC Union Berlin,2 - 0,2.3207000000000004,1.1254,0,0,0,0,3,3,74,26,20,10,4,4
6,2025-10-04,Borussia Dortmund,RB Leipzig,1 - 1,1.0711,1.276,0,0,0,0,3,3,50,50,15,13,7,7
6,2025-10-05,Borussia Mönchengladbach,SC Freiburg,0 - 0,0.9127,0.8593,0,0,0,0,5,1,53,47,9,12,4,1
6,2025-10-04,Eintracht Frankfurt,FC Bayern München,0 - 3,0.4699,1.6549999999999998,0,0,0,0,1,3,40,60,6,12,4,3
6,2025-10-04,FC Augsburg,VfL Wolfsburg,3 - 1,1.6882000000000001,1.3244,0,0,0,0,5,4,47,53,10,14,10,5
6,2025-10-05,Hamburger SV,FSV Mainz 05,4 - 0,1.6519,0.7949999999999999,0,0,0,0,9,4,35,65,15,11,1,4
6,2025-10-03,TSG Hoffenheim,FC Köln,0 - 1,1.3617000000000001,0.9759,0,0,0,0,4,4,61,39,15,10,11,6
6,2025-10-05,VfB Stuttgart,Heidenheim,1 - 0,1.3024000000000002,0.5093,0,0,0,0,6,1,64,36,18,5,1,1
6,2025-10-04,Werder Bremen,St. Pauli,1 - 0,1.8028,0.9655,0,0,0,0,5,3,41,59,15,13,4,0
7,2025-10-18,FC Bayern München,Borussia Dortmund,2 - 1,2.3404,1.4519000000000002,0,0,0,0,7,1,61,39,15,8,4,3
7,2025-10-18,FC Köln,FC Augsburg,1 - 1,0.628,1.1212,0,0,0,1,2,4,56,44,9,10,5,2
