Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
1,2025-08-09,Arouca,AVS,3 - 1,1.1269,0.9298,0,0,0,0,4,2,53,47,9,15,4,5
1,2025-09-23,Benfica,Rio Ave,1 - 1,2.432,0.2239,0,0,0,0,7,2,69,31,19,4,11,2
1,2025-08-08,Casa Pia,Sporting CP,0 - 2,0.485,2.9211,0,0,0,0,2,12,33,67,7,27,2,9
1,2025-08-11,Estoril,Estrela Amadora,1 - 1,0.9509,1.0394,0,0,0,0,3,5,66,34,8,9,4,4
1,2025-08-10,Famalicão,Santa Clara,3 - 0,0.9855999999999999,0.35100000000000003,0,0,0,0,3,2,46,54,6,7,2,3
1,2025-08-10,Moreirense,Alverca,2 - 1,0.7732,1.0027000000000001,0,0,0,1,3,2,58,42,10,7,6,2
1,2025-08-09,Nacional,Gil Vicente,0 - 2,1.2218,0.8147000000000001,0,0,0,0,3,2,60,40,14,12,14,6
1,2025-08-11,Porto,Vitória Guimarães,3 - 0,1.8339,0.5257,0,0,0,0,9,2,50,50,17,10,7,4
1,2025-08-10,Sporting Braga,Tondela,3 - 0,1.5571000000000002,0.37839999999999996,0,0,1,0,6,3,68,32,8,7,5,3
2,2025-08-15,AVS,Casa Pia,0 - 2,1.2513,1.3317999999999999,0,0,1,0,3,5,51,49,10,10,1,3
2,2025-08-17,Alverca,Sporting Braga,0 - 3,1.7703,1.8951,0,0,0,1,3,6,33,67,12,12,1,5
2,2025-08-16,Estrela Amadora,Benfica,0 - 1,2.1142,4.2242,0,0,0,1,2,3,43,57,15,14,5,4
2,2025-08-18,Gil Vicente,Porto,0 - 2,1.2793999999999999,1.9276,0,0,0,0,2,4,41,59,14,15,1,5
2,2025-08-17,Rio Ave,Nacional,1 - 1,2.0383,1.2316000000000003,0,1,0,0,9,6,62,38,20,13,6,6
2,2025-08-17,Santa Clara,Moreirense,0 - 1,0.6677000000000001,0.8143,0,0,0,0,3,2,58,42,12,5,3,0
2,2025-08-17,Sporting CP,Arouca,6 - 0,2.5149,0.21910000000000002,0,1,1,0,10,1,57,43,19,7,6,1
