Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
1,2025-08-09,Arouca,AVS,3 - 1,1.1269,0.9298,0,0,0,0,4,0,53,0,9,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-09-23,Benfica,Rio Ave,1 - 1,2.432,0.2239,0,0,0,0,7,0,69,0,19,0,11,0,5.0,0.0,0.0,0.0,0.0,0.0
1,2025-08-08,Casa Pia,Sporting CP,0 - 2,0.485,2.9211,0,0,0,0,2,0,33,0,7,0,2,0,0.3,0.0,0.0,0.0,0.0,10.0
1,2025-08-11,Estoril,Estrela Amadora,1 - 1,0.9509,1.0394,0,0,0,0,3,0,66,0,8,0,4,0,0.0,0.0,1.0,0.0,0.0,0.0
1,2025-08-10,Famalicão,Santa Clara,3 - 0,0.9856,0.351,0,0,0,0,3,0,46,0,6,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-08-10,Moreirense,Alverca,2 - 1,0.7732,1.0027,0,0,0,0,3,0,58,0,10,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-08-09,Nacional,Gil Vicente,0 - 2,1.2218,0.8147000000000001,0,0,0,0,3,0,60,0,14,0,14,0,0.0,0.0,0.4,0.0,0.0,0.0
1,2025-08-11,Porto,Vitória Guimarães,3 - 0,1.8339,0.5257,0,0,0,0,9,0,50,0,17,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-08-10,Sporting Braga,Tondela,3 - 0,1.5571000000000002,0.3783999999999999,0,0,1,0,6,0,68,0,8,0,5,0,0.0,0.0,0.0,0.0,0.0,0.6
2,2025-08-15,AVS,Casa Pia,0 - 2,1.2513,1.3318,0,0,1,0,3,0,51,0,10,0,1,0,0.0,0.0,0.0,0.3,0.0,0.0
2,2025-08-17,Alverca,Sporting Braga,0 - 3,1.7703,1.8951,0,0,0,0,3,0,33,0,12,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025-08-16,Estrela Amadora,Benfica,0 - 1,2.1142,4.2242,0,0,0,0,2,0,43,0,15,0,5,0,0.0,0.0,0.0,5.0,9.0,9.0
2,2025-08-18,Gil Vicente,Porto,0 - 2,1.2794,1.9276,0,0,0,0,2,0,41,0,14,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025-08-17,Rio Ave,Nacional,1 - 1,2.0383,1.2316000000000005,0,0,0,0,9,0,62,0,20,0,6,0,0.0,0.0,0.0,0.0,0.0,0.4
2,2025-08-17,Santa Clara,Moreirense,0 - 1,0.6677000000000001,0.8143,0,0,0,0,3,0,58,0,12,0,3,0,0.0,0.4,0.0,0.0,0.0,0.0
2,2025-08-17,Sporting CP,Arouca,6 - 0,2.5149,0.2191,0,0,1,0,10,0,57,0,19,0,6,0,0.0,0.0,10.0,0.0,0.0,0.0
2,2025-08-16,Tondela,Famalicão,0 - 1,1.1094,1.1529,0,0,0,0,4,0,49,0,15,0,2,0,0.0,0.0,0.6,0.0,0.0,0.0
2,2025-08-16,Vitória Guimarães,Estoril,3 - 2,1.9395,0.9811,0,0,1,0,4,0,55,0,16,0,4,0,0.0,0.0,0.0,0.0,0.0,1.0
3,2025-08-23,Arouca,Rio Ave,3 - 3,0.9446,1.4698,0,0,0,0,6,0,56,0,14,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-08-23,Benfica,Tondela,3 - 0,2.4708,0.6485000000000001,0,0,0,0,12,0,66,0,21,0,13,0,5.0,9.0,9.0,0.0,0.0,0.0
3,2025-09-06,Estoril,Santa Clara,0 - 1,0.8628,1.7115,0,0,0,0,4,0,60,0,15,0,5,0,0.0,0.8,1.0,0.0,0.4,0.0
3,2025-08-25,Estrela Amadora,Alverca,2 - 2,2.815,0.8891,1,0,1,0,6,0,56,0,19,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-08-24,Famalicão,Gil Vicente,0 - 0,0.8597999999999999,1.9349,0,0,0,0,3,0,45,0,11,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-08-23,Moreirense,Vitória Guimarães,2 - 0,1.8077,0.3448,0,0,0,0,4,0,48,0,10,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025-08-23,Nacional,Sporting CP,1 - 4,0.7334,2.8895,1,0,0,0,2,0,26,0,3,0,3,0,0.0,0.0,0.4,0.0,0.0,10.0
3,2025-08-24,Porto,Casa Pia,4 - 0,1.9103,0.2571,0,0,0,0,7,0,65,0,20,0,7,0,0.0,0.0,0.0,0.3,0.0,0.0
3,2025-08-24,Sporting Braga,AVS,2 - 2,2.2451,0.4477,0,0,1,0,5,0,76,0,21,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0
