Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
1,2025-08-17,Angers SCO,Paris,1 - 0,0.8275,0.8139,1,0,0,0,2,7,32,68,8,17,3,7
1,2025-08-17,Auxerre,Lorient,1 - 0,1.3426,0.8927,0,0,1,0,3,3,44,56,7,14,4,4
1,2025-08-17,Brest,LOSC Lille,3 - 3,1.8165,1.5914000000000001,0,0,0,0,5,6,46,54,18,10,2,2
1,2025-08-16,Lens,Olympique Lyonnais,0 - 1,2.2702999999999998,2.2445,0,0,0,0,5,3,55,45,18,11,12,8
1,2025-08-17,Metz,Strasbourg,0 - 1,0.2149,0.7399,0,0,0,0,0,4,38,62,2,9,3,3
1,2025-08-16,Monaco,Le Havre,3 - 1,1.7223000000000002,0.6622,0,0,0,0,3,4,74,26,13,9,5,4
1,2025-08-17,Nantes,Paris Saint Germain,0 - 1,0.1891,1.3679000000000001,0,0,0,0,0,4,29,71,5,18,2,7
1,2025-08-16,Nice,Toulouse,0 - 1,1.294,1.1768,0,0,0,0,2,2,57,43,13,10,9,4
1,2025-08-15,Rennes,Olympique Marseille,1 - 0,0.9669000000000001,2.2790999999999997,1,0,0,0,5,2,28,72,12,24,1,12
2,2025-08-24,LOSC Lille,Monaco,1 - 0,2.1133,1.2128,0,0,1,0,1,1,50,50,18,6,8,3
2,2025-08-24,Le Havre,Lens,1 - 2,1.8495000000000001,1.0736,0,0,0,1,6,3,57,43,18,6,7,0
2,2025-08-24,Lorient,Rennes,4 - 0,3.2931,0.08729999999999999,0,2,0,0,7,1,51,49,22,4,3,2
2,2025-08-23,Nice,Auxerre,3 - 1,1.9377,1.4224999999999999,0,1,0,0,6,8,55,45,16,12,5,4
2,2025-08-23,Olympique Lyonnais,Metz,3 - 0,2.1245000000000003,1.0682,0,0,0,0,8,2,53,47,13,11,4,3
2,2025-08-23,Olympique Marseille,Paris,5 - 2,2.6502,0.8258,0,0,2,0,7,4,61,39,11,8,5,2
2,2025-08-22,Paris Saint Germain,Angers SCO,1 - 0,2.1775,0.245,0,0,1,0,4,0,84,16,21,3,12,0
2,2025-08-24,Strasbourg,Nantes,1 - 0,1.7552,0.508,0,0,0,0,4,2,49,51,15,9,7,6
2,2025-08-24,Toulouse,Brest,2 - 0,1.1883,1.1384,0,0,0,0,3,2,47,53,6,16,3,9
3,2025-08-31,Angers SCO,Rennes,1 - 1,1.2237,1.5562999999999998,0,0,0,0,7,7,37,63,10,15,1,7
3,2025-08-31,Le Havre,Nice,3 - 1,1.9000000000000001,1.0576,0,0,0,0,8,3,41,59,12,7,0,5
3,2025-08-29,Lens,Brest,3 - 1,4.785,1.0902,0,1,1,0,10,2,68,32,30,9,15,1
3,2025-08-30,Lorient,LOSC Lille,1 - 7,1.7695,2.238,0,0,1,0,2,11,41,59,6,20,3,8
3,2025-08-31,Monaco,Strasbourg,3 - 2,1.8284,1.5394999999999999,0,1,0,1,4,4,43,57,12,12,6,5
3,2025-08-30,Nantes,Auxerre,1 - 0,0.244,1.0314,0,0,0,0,3,4,43,57,4,14,3,9
3,2025-08-31,Olympique Lyonnais,Olympique Marseille,1 - 0,3.2321,1.4554,0,1,0,0,6,2,58,42,18,5,9,4
3,2025-08-31,Paris,Metz,3 - 2,3.0786,1.5514000000000001,0,1,1,0,9,2,51,49,24,14,14,6
3,2025-08-30,Toulouse,Paris Saint Germain,3 - 6,2.36,2.7547,0,0,2,2,6,8,24,76,14,13,5,7
4,2025-09-13,Auxerre,Monaco,1 - 2,0.7155,1.3455,1,0,0,0,2,3,33,67,9,13,5,8
4,2025-09-14,Brest,Paris,1 - 2,2.9676,1.7375,0,1,1,0,8,4,46,54,23,7,6,1
4,2025-09-14,LOSC Lille,Toulouse,2 - 1,2.4933,0.8928,0,1,1,0,5,4,70,30,20,9,7,6
4,2025-09-14,Metz,Angers SCO,1 - 1,1.7643000000000002,2.0553,0,0,1,1,5,4,55,45,9,10,4,3
4,2025-09-13,Nice,Nantes,1 - 0,1.8544,0.6903,0,0,0,0,8,3,59,41,19,14,7,4
4,2025-09-12,Olympique Marseille,Lorient,4 - 0,1.8455,0.18619999999999998,0,1,1,0,8,1,72,28,15,4,10,0
4,2025-09-14,Paris Saint Germain,Lens,2 - 0,1.233,1.1770999999999998,0,0,0,0,6,3,68,32,14,11,4,3
4,2025-09-14,Rennes,Olympique Lyonnais,3 - 1,2.4586,1.2231,0,1,0,0,5,5,48,52,23,8,5,4
4,2025-09-14,Strasbourg,Le Havre,1 - 0,1.3414,0.7201,1,0,1,0,7,1,49,51,9,10,4,3
5,2025-09-21,Auxerre,Toulouse,1 - 0,0.5790000000000001,2.3045,1,0,0,1,1,3,40,60,6,13,3,4
5,2025-09-20,Brest,Nice,4 - 1,1.6736999999999997,2.1269,0,0,0,0,5,4,38,62,11,21,2,7
5,2025-09-21,Le Havre,Lorient,1 - 1,2.7608,0.9749,0,0,0,0,2,4,60,40,13,8,6,2
5,2025-09-20,Lens,LOSC Lille,3 - 0,2.5485,1.8955,0,0,0,0,6,3,38,62,15,17,4,10
5,2025-09-21,Monaco,Metz,5 - 2,2.8952,1.7827000000000002,0,0,0,1,6,3,43,57,16,8,4,5
5,2025-09-20,Nantes,Rennes,2 - 2,1.93,1.3191000000000002,0,0,1,1,4,4,43,57,16,8,4,4
5,2025-09-19,Olympique Lyonnais,Angers SCO,1 - 0,1.7044,1.4461,0,0,0,0,5,2,67,33,16,10,7,4
5,2025-09-22,Olympique Marseille,Paris Saint Germain,1 - 0,1.1697,0.6563,0,0,0,0,1,5,32,68,9,12,5,3
5,2025-09-21,Paris,Strasbourg,2 - 3,1.7208,1.9644999999999997,0,0,0,0,6,4,61,39,18,8,4,2
6,2025-09-28,Angers SCO,Brest,0 - 2,0.8307,1.1939,0,0,0,1,2,3,57,43,11,7,11,4
6,2025-09-28,LOSC Lille,Olympique Lyonnais,0 - 1,1.6436,0.5155000000000001,0,0,0,0,3,2,54,46,14,5,3,4
6,2025-09-27,Lorient,Monaco,3 - 1,2.5389,1.1024,0,1,0,1,8,2,47,53,19,5,2,4
6,2025-09-28,Metz,Le Havre,0 - 0,0.5862999999999999,0.3961,0,0,0,0,0,2,53,47,7,10,4,6
6,2025-09-28,Nice,Paris,1 - 1,0.8741,2.0959000000000003,0,0,0,1,5,3,44,56,11,13,5,5
6,2025-09-27,Paris Saint Germain,Auxerre,2 - 0,1.446,0.7332000000000001,0,0,0,0,8,3,66,34,15,12,5,5
6,2025-09-28,Rennes,Lens,0 - 0,1.2574999999999998,1.3441999999999998,0,1,0,0,2,2,67,33,14,13,8,4
6,2025-09-26,Strasbourg,Olympique Marseille,1 - 2,1.0532,1.7446000000000002,0,0,0,0,1,9,40,60,9,16,5,4
6,2025-09-27,Toulouse,Nantes,2 - 2,2.2662999999999998,1.4473,0,0,1,0,7,2,46,54,20,12,1,4
7,2025-10-04,Auxerre,Lens,1 - 2,1.5542,0.6134,0,1,0,0,2,4,57,43,18,7,2,2
7,2025-10-04,Brest,Nantes,0 - 0,1.428,0.354,0,0,0,0,5,0,51,49,17,6,12,3
7,2025-10-05,LOSC Lille,Paris Saint Germain,1 - 1,0.8641000000000001,1.4222000000000001,0,0,0,0,3,5,38,62,9,17,3,5
7,2025-10-05,Le Havre,Rennes,2 - 2,1.7349,0.8729,0,0,1,0,2,3,43,57,10,9,3,4
7,2025-10-04,Metz,Olympique Marseille,0 - 3,0.19060000000000002,2.7352,0,0,0,0,1,9,38,62,4,21,4,4
7,2025-10-05,Monaco,Nice,2 - 2,3.3168,1.1956000000000002,0,1,2,1,6,2,66,34,20,9,6,7
7,2025-10-05,Olympique Lyonnais,Toulouse,1 - 2,1.0436,1.398,0,0,0,0,3,3,69,31,13,14,8,5
7,2025-10-03,Paris,Lorient,2 - 0,1.492,0.7176,0,0,0,0,2,3,59,41,10,8,1,5
7,2025-10-05,Strasbourg,Angers SCO,5 - 0,2.7318999999999996,0.43789999999999996,0,0,0,0,12,1,66,34,18,5,2,5
8,2025-10-18,Angers SCO,Monaco,1 - 1,2.0965,1.3428,0,0,0,0,3,4,42,58,16,11,10,3
8,2025-10-19,Lens,Paris,2 - 1,1.7236,0.9865999999999999,0,0,0,0,3,3,43,57,11,9,11,3
8,2025-10-19,Lorient,Brest,3 - 3,1.3796,1.5834000000000001,0,0,0,1,7,4,50,50,12,8,5,2
8,2025-10-19,Nantes,LOSC Lille,0 - 2,0.69,3.1658999999999997,0,0,0,0,3,5,37,63,8,23,5,9
8,2025-10-18,Nice,Olympique Lyonnais,3 - 2,1.2589000000000001,3.6872000000000003,0,0,0,1,4,7,31,69,5,29,1,16
8,2025-10-18,Olympique Marseille,Le Havre,6 - 2,3.2308,0.4184,0,1,1,0,11,3,74,26,18,8,2,1
8,2025-10-17,Paris Saint Germain,Strasbourg,3 - 3,2.6279000000000003,1.7809,0,0,1,0,9,7,71,29,21,12,4,1
8,2025-10-19,Rennes,Auxerre,2 - 2,2.0875,1.2690000000000001,0,0,0,1,7,4,52,48,19,7,6,2
8,2025-10-19,Toulouse,Metz,4 - 0,2.8037,0.1781,0,1,1,0,7,2,36,64,16,2,5,1
9,2025-10-26,Angers SCO,Lorient,2 - 0,0.9285,2.1279999999999997,0,0,0,1,4,4,37,63,7,23,1,6
9,2025-10-26,Auxerre,Le Havre,0 - 1,1.0243,0.9505,0,0,0,0,3,4,51,49,14,9,13,5
9,2025-10-25,Brest,Paris Saint Germain,0 - 3,1.5934,1.8264,0,0,1,0,2,8,25,75,8,18,2,7
