Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
1,2025-08-17,Angers SCO,Paris,1 - 0,0.8275,0.8139,1,0,0,0,2,0,32,0,8,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-08-17,Auxerre,Lorient,1 - 0,1.3426,0.8927,0,0,1,0,3,0,44,0,7,0,4,0,0.0,5.0,1.9,0.0,2.7,0.25
1,2025-08-17,Brest,LOSC Lille,3 - 3,1.8165,1.5914,0,0,0,0,5,0,46,0,18,0,2,0,0.0,7.0,2.0,19.0,14.9,0.0
1,2025-08-16,Lens,Olympique Lyonnais,0 - 1,2.2703,2.2445,0,0,0,0,5,0,55,0,18,0,12,0,0.0,3.0,0.0,12.0,0.0,10.0
1,2025-08-17,Metz,Strasbourg,0 - 1,0.2149,0.7399,0,0,0,0,0,0,38,0,2,0,3,0,5.05,0.0,0.0,0.0,25.0,35.0
1,2025-08-16,Monaco,Le Havre,3 - 1,1.7223000000000002,0.6622,0,0,0,0,3,0,74,0,13,0,5,0,30.0,0.0,0.0,0.0,0.6,3.0
1,2025-08-17,Nantes,Paris Saint Germain,0 - 1,0.1891,1.3679,0,0,0,0,0,0,29,0,5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2025-08-16,Nice,Toulouse,0 - 1,1.294,1.1768,0,0,0,0,2,0,57,0,13,0,9,0,15.0,22.0,7.0,0.0,1.5,9.0
1,2025-08-15,Rennes,Olympique Marseille,1 - 0,0.9669,2.2791,1,0,0,0,5,0,28,0,12,0,1,0,0.0,18.0,2.5,35.0,18.0,0.0
2,2025-08-24,LOSC Lille,Monaco,1 - 0,2.1133,1.2128,0,0,1,0,1,0,50,0,18,0,8,0,19.0,12.6,0.0,15.0,0.0,8.0
2,2025-08-24,Le Havre,Lens,1 - 2,1.8495,1.0736,0,0,0,0,6,0,57,0,18,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025-08-24,Lorient,Rennes,4 - 0,3.2931,0.0872999999999999,0,0,0,0,7,0,51,0,22,0,3,0,0.0,2.7,0.25,0.0,29.0,2.5
2,2025-08-23,Nice,Auxerre,3 - 1,1.9377,1.4225,0,0,0,0,6,0,55,0,16,0,5,0,15.0,26.5,7.0,0.0,5.0,1.9
2,2025-08-23,Olympique Lyonnais,Metz,3 - 0,2.1245000000000003,1.0682,0,0,0,0,8,0,53,0,13,0,4,0,12.0,0.0,10.0,0.05,0.0,0.0
2,2025-08-23,Olympique Marseille,Paris,5 - 2,2.6502,0.8258,0,0,2,0,7,0,61,0,11,0,5,0,35.0,0.0,0.0,0.0,0.0,0.0
2,2025-08-22,Paris Saint Germain,Angers SCO,1 - 0,2.1775,0.245,0,0,1,0,4,0,84,0,21,0,12,0,90.0,0.5,40.0,0.0,0.0,4.5
2,2025-08-24,Strasbourg,Nantes,1 - 0,1.7552,0.508,0,0,0,0,4,0,49,0,15,0,7,0,0.0,18.0,0.0,0.0,1.2,0.0
2,2025-08-24,Toulouse,Brest,2 - 0,1.1883,1.1384,0,0,0,0,3,0,47,0,6,0,3,0,0.0,1.5,2.0,0.0,7.0,2.0
3,2025-08-31,Angers SCO,Rennes,1 - 1,1.2237,1.5562999999999998,0,0,0,0,7,0,37,0,10,0,1,0,0.0,0.0,0.0,0.0,10.0,12.5
3,2025-08-31,Le Havre,Nice,3 - 1,1.9,1.0576,0,0,0,0,8,0,41,0,12,0,0,0,0.0,4.0,0.0,0.0,21.5,3.0
3,2025-08-29,Lens,Brest,3 - 1,4.785,1.0902,0,0,1,0,10,0,68,0,30,0,15,0,12.0,0.0,0.0,0.0,12.0,2.0
3,2025-08-30,Lorient,LOSC Lille,1 - 7,1.7695,2.238,0,0,1,0,2,0,41,0,6,0,3,0,10.0,2.7,0.25,9.0,12.6,12.0
3,2025-08-31,Monaco,Strasbourg,3 - 2,1.8284,1.5395,0,0,0,0,4,0,43,0,12,0,6,0,15.0,0.0,8.0,0.0,25.0,0.0
3,2025-08-30,Nantes,Auxerre,1 - 0,0.244,1.0314,0,0,0,0,3,0,43,0,4,0,3,0,0.0,0.0,0.0,0.0,5.9,0.0
3,2025-08-31,Olympique Lyonnais,Olympique Marseille,1 - 0,3.2321,1.4554,0,0,0,0,6,0,58,0,18,0,9,0,12.0,0.0,10.0,35.0,18.0,4.0
3,2025-08-31,Paris,Metz,3 - 2,3.0786,1.5514,0,0,1,0,9,0,51,0,24,0,14,0,1.2,6.2,0.0,0.05,1.0,0.0
3,2025-08-30,Toulouse,Paris Saint Germain,3 - 6,2.36,2.7547,0,0,2,0,6,0,24,0,14,0,5,0,0.0,1.5,2.0,0.0,0.5,40.0
4,2025-09-13,Auxerre,Monaco,1 - 2,0.7155,1.3455,1,0,0,0,2,0,33,0,9,0,5,0,0.0,14.9,1.8,15.0,1.8,26.0
4,2025-09-14,Brest,Paris,1 - 2,2.9676,1.7375,0,0,1,0,8,0,46,0,23,0,6,0,0.0,3.0,8.0,4.4,0.2,0.0
4,2025-09-14,LOSC Lille,Toulouse,2 - 1,2.4933,0.8928,0,0,1,0,5,0,70,0,20,0,7,0,0.0,2.4,0.0,0.0,0.5,0.0
4,2025-09-14,Metz,Angers SCO,1 - 1,1.7643000000000002,2.0553,0,0,1,0,5,0,55,0,9,0,4,0,0.0,6.0,0.0,0.0,0.0,0.0
4,2025-09-13,Nice,Nantes,1 - 0,1.8544,0.6903,0,0,0,0,8,0,59,0,19,0,7,0,15.0,21.5,3.8,8.0,0.0,0.0
4,2025-09-12,Olympique Marseille,Lorient,4 - 0,1.8455,0.1861999999999999,0,0,1,0,8,0,72,0,15,0,10,0,0.0,10.0,0.0,10.5,2.7,2.25
4,2025-09-14,Paris Saint Germain,Lens,2 - 0,1.233,1.1770999999999998,0,0,0,0,6,0,68,0,14,0,4,0,190.0,0.5,0.0,0.0,0.0,0.0
4,2025-09-14,Rennes,Olympique Lyonnais,3 - 1,2.4586,1.2231,0,0,0,0,5,0,48,0,23,0,5,0,0.0,0.0,0.0,12.0,0.0,10.0
4,2025-09-14,Strasbourg,Le Havre,1 - 0,1.3414,0.7201,1,0,1,0,7,0,49,0,9,0,4,0,28.0,25.0,16.0,0.0,0.0,0.0
5,2025-09-21,Auxerre,Toulouse,1 - 0,0.5790000000000001,2.3045,1,0,0,0,1,0,40,0,6,0,3,0,3.5,5.0,1.8,0.0,1.5,15.0
5,2025-09-20,Brest,Nice,4 - 1,1.6736999999999995,2.1269,0,0,0,0,5,0,38,0,11,0,2,0,3.5,3.0,2.0,0.0,11.5,3.8
5,2025-09-21,Le Havre,Lorient,1 - 1,2.7608,0.9749,0,0,0,0,2,0,60,0,13,0,6,0,0.0,2.5,0.0,0.5,8.7,2.25
5,2025-09-20,Lens,LOSC Lille,3 - 0,2.5485,1.8955,0,0,0,0,6,0,38,0,15,0,4,0,0.0,0.0,0.0,0.0,20.4,4.0
5,2025-09-21,Monaco,Metz,5 - 2,2.8952,1.7827000000000002,0,0,0,0,6,0,43,0,16,0,4,0,0.0,16.8,46.0,0.0,5.0,0.0
5,2025-09-20,Nantes,Rennes,2 - 2,1.93,1.3191000000000002,0,0,1,0,4,0,43,0,16,0,4,0,8.0,1.2,0.0,0.0,17.0,0.0
5,2025-09-19,Olympique Lyonnais,Angers SCO,1 - 0,1.7044,1.4461,0,0,0,0,5,0,67,0,16,0,7,0,12.0,12.0,35.0,0.0,0.0,0.0
5,2025-09-22,Olympique Marseille,Paris Saint Germain,1 - 0,1.1697,0.6563,0,0,0,0,1,0,32,0,9,0,5,0,0.0,0.0,4.0,260.0,0.0,110.0
5,2025-09-21,Paris,Strasbourg,2 - 3,1.7208,1.9645,0,0,0,0,6,0,61,0,18,0,4,0,0.4,10.0,0.0,0.0,15.0,0.0
6,2025-09-28,Angers SCO,Brest,0 - 2,0.8307,1.1939,0,0,0,0,2,0,57,0,11,0,11,0,0.0,3.5,0.0,3.5,0.0,2.0
