Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
1,2025-08-23,AC Milan,Cremonese,1 - 2,2.6403000000000003,0.33130000000000004,0,0,0,0,6,0,64,0,24,0,9,0
1,2025-08-24,Atalanta,Pisa,1 - 1,1.8649,1.0335999999999999,0,0,0,0,6,0,66,0,21,0,10,0
1,2025-08-24,Cagliari,Fiorentina,1 - 1,1.0798,0.9251,0,0,0,0,6,0,45,0,14,0,3,0
1,2025-08-24,Como,Lazio,2 - 0,1.5703,0.3422,0,0,0,0,6,0,63,0,19,0,6,0
1,2025-08-23,Genoa,Lecce,0 - 0,0.391,0.4169,0,0,0,0,2,0,59,0,5,0,3,0
1,2025-08-25,Inter,Torino,5 - 0,1.8150999999999997,1.055,0,0,0,0,9,0,60,0,20,0,6,0
1,2025-08-24,Juventus,Parma,2 - 0,2.7492,0.6838,1,0,0,0,8,0,64,0,25,0,6,0
1,2025-08-23,Roma,Bologna,1 - 0,1.2669000000000001,0.6713,0,0,0,0,4,0,51,0,14,0,2,0
1,2025-08-23,Sassuolo,Napoli,0 - 2,0.5306,1.5899999999999999,1,0,0,0,2,0,38,0,7,0,1,0
1,2025-08-25,Udinese,Hellas Verona,1 - 1,0.9347,0.6389,0,0,0,0,4,0,63,0,14,0,5,0
2,2025-08-30,Bologna,Como,1 - 0,0.9891,0.9039,0,0,0,0,2,0,36,0,15,0,7,0
2,2025-08-29,Cremonese,Sassuolo,3 - 2,2.6698,1.3737000000000001,0,0,1,0,6,0,42,0,11,0,5,0
2,2025-08-31,Genoa,Juventus,0 - 1,0.9357,1.7677,0,0,0,0,1,0,44,0,10,0,3,0
2,2025-08-31,Inter,Udinese,1 - 2,2.0679,1.3928,0,0,0,0,4,0,68,0,16,0,13,0
2,2025-08-31,Lazio,Hellas Verona,4 - 0,2.9771,0.7976000000000001,0,0,0,0,6,0,70,0,22,0,8,0
2,2025-08-29,Lecce,AC Milan,0 - 2,0.6215,1.2393,0,0,0,0,2,0,45,0,7,0,4,0
2,2025-08-30,Napoli,Cagliari,1 - 0,1.9456000000000002,0.4589,0,0,0,0,6,0,67,0,20,0,13,0
2,2025-08-30,Parma,Atalanta,1 - 1,0.521,1.4214000000000002,0,0,0,0,3,0,46,0,7,0,1,0
2,2025-08-30,Pisa,Roma,0 - 1,0.598,0.7761,0,0,0,0,3,0,31,0,7,0,1,0
2,2025-08-31,Torino,Fiorentina,0 - 0,0.8190999999999999,1.5993,0,0,0,0,4,0,45,0,7,0,7,0
3,2025-09-14,AC Milan,Bologna,1 - 0,1.0568,0.4011,0,0,0,0,3,0,39,0,14,0,7,0
3,2025-09-14,Atalanta,Lecce,4 - 1,2.3411,0.5008,0,0,0,0,8,0,57,0,19,0,8,0
3,2025-09-13,Cagliari,Parma,2 - 0,1.3563999999999998,1.7833,0,0,0,0,5,0,51,0,12,0,4,0
3,2025-09-15,Como,Genoa,1 - 1,2.0989,2.3125,1,0,0,0,4,0,53,0,13,0,0,0
3,2025-09-13,Fiorentina,Napoli,1 - 3,2.1807999999999996,3.0048000000000004,0,0,0,0,3,0,53,0,19,0,8,0
3,2025-09-15,Hellas Verona,Cremonese,0 - 0,1.5299999999999998,0.31679999999999997,0,0,0,0,9,0,46,0,20,0,10,0
3,2025-09-13,Juventus,Inter,4 - 3,0.7183,1.0552,0,0,0,0,4,0,41,0,12,0,5,0
3,2025-09-14,Pisa,Udinese,0 - 1,0.6899000000000001,1.1544,0,0,0,0,2,0,51,0,12,0,8,0
3,2025-09-14,Roma,Torino,0 - 1,1.4732,0.6818,0,0,0,0,5,0,73,0,22,0,7,0
3,2025-09-14,Sassuolo,Lazio,1 - 0,1.1832,0.8008,0,0,0,0,3,0,41,0,10,0,3,0
4,2025-09-20,Bologna,Genoa,2 - 1,1.8891000000000002,0.6849,0,0,1,0,6,0,59,0,14,0,8,0
4,2025-09-21,Cremonese,Parma,0 - 0,0.09820000000000001,1.3309,0,0,0,0,1,0,52,0,3,0,3,0
4,2025-09-21,Fiorentina,Como,1 - 2,0.4232,1.2662,0,0,0,0,1,0,39,0,8,0,2,0
4,2025-09-20,Hellas Verona,Juventus,1 - 1,1.5679,0.45330000000000004,0,0,1,0,4,0,28,0,14,0,5,0
4,2025-09-21,Inter,Sassuolo,2 - 1,2.0951,0.5427,0,0,0,0,6,0,61,0,20,0,7,0
4,2025-09-21,Lazio,Roma,0 - 1,0.6555,1.4395,1,0,0,0,2,0,49,0,10,0,3,0
4,2025-09-19,Lecce,Cagliari,1 - 2,0.6781999999999999,2.1869,0,0,0,0,5,0,52,0,11,0,4,0
4,2025-09-22,Napoli,Pisa,3 - 2,1.5423999999999998,2.61,0,0,0,0,6,0,64,0,18,0,5,0
4,2025-09-21,Torino,Atalanta,0 - 3,1.3549,1.5263,0,0,1,0,5,0,39,0,11,0,1,0
4,2025-09-20,Udinese,AC Milan,0 - 3,0.4545,1.5352,0,0,0,0,4,0,40,0,10,0,1,0
5,2025-09-28,AC Milan,Napoli,2 - 1,0.9985,2.851,1,0,0,0,3,0,37,0,6,0,1,0
5,2025-09-27,Cagliari,Inter,0 - 2,0.20789999999999997,2.5845,0,0,0,0,0,0,42,0,6,0,4,0
5,2025-09-27,Como,Cremonese,1 - 1,1.1767,0.45649999999999996,1,0,0,0,6,0,58,0,14,0,4,0
5,2025-09-29,Genoa,Lazio,0 - 3,0.9763000000000001,2.6059,0,0,0,0,5,0,65,0,17,0,6,0
5,2025-09-27,Juventus,Atalanta,1 - 1,1.7324,1.0627,0,0,0,0,10,0,67,0,24,0,14,0
