Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
1,2025-08-23,AC Milan,Cremonese,1 - 2,2.6403000000000003,0.33130000000000004,0,0,0,0,6,3,64,36,24,4,9,2
1,2025-08-24,Atalanta,Pisa,1 - 1,1.8649,1.0335999999999999,0,0,0,0,6,2,66,34,21,11,10,4
1,2025-08-24,Cagliari,Fiorentina,1 - 1,1.0798,0.9251,0,0,0,0,6,1,45,55,14,4,3,2
1,2025-08-24,Como,Lazio,2 - 0,1.5703,0.3422,0,0,0,0,6,1,63,37,19,5,6,0
1,2025-08-23,Genoa,Lecce,0 - 0,0.391,0.4169,0,0,0,0,2,0,59,41,5,7,3,7
1,2025-08-25,Inter,Torino,5 - 0,1.8150999999999997,1.055,0,0,0,0,9,4,60,40,20,12,6,5
1,2025-08-24,Juventus,Parma,2 - 0,2.7492,0.6838,1,0,0,0,8,2,64,36,25,8,6,6
1,2025-08-23,Roma,Bologna,1 - 0,1.2669000000000001,0.6713,0,0,0,0,4,2,51,49,14,10,2,4
1,2025-08-23,Sassuolo,Napoli,0 - 2,0.5306,1.5899999999999999,1,0,0,0,2,4,38,62,7,13,1,2
1,2025-08-25,Udinese,Hellas Verona,1 - 1,0.9347,0.6389,0,0,0,0,4,3,63,37,14,9,5,1
2,2025-08-30,Bologna,Como,1 - 0,0.9891,0.9039,0,0,0,0,2,2,36,64,15,13,7,4
2,2025-08-29,Cremonese,Sassuolo,3 - 2,2.6698,1.3737000000000001,0,0,1,1,6,6,42,58,11,9,5,4
2,2025-08-31,Genoa,Juventus,0 - 1,0.9357,1.7677,0,0,0,0,1,3,44,56,10,13,3,4
2,2025-08-31,Inter,Udinese,1 - 2,2.0679,1.3928,0,0,0,1,4,5,68,32,16,10,13,2
2,2025-08-31,Lazio,Hellas Verona,4 - 0,2.9771,0.7976000000000001,0,0,0,0,6,4,70,30,22,12,8,1
2,2025-08-29,Lecce,AC Milan,0 - 2,0.6215,1.2393,0,0,0,0,2,6,45,55,7,14,4,5
2,2025-08-30,Napoli,Cagliari,1 - 0,1.9456000000000002,0.4589,0,0,0,0,6,1,67,33,20,10,13,0
2,2025-08-30,Parma,Atalanta,1 - 1,0.521,1.4214000000000002,0,0,0,0,3,3,46,54,7,11,1,2
2,2025-08-30,Pisa,Roma,0 - 1,0.598,0.7761,0,0,0,0,3,5,31,69,7,10,1,7
2,2025-08-31,Torino,Fiorentina,0 - 0,0.8190999999999999,1.5993,0,0,0,0,4,4,45,55,7,16,7,3
3,2025-09-14,AC Milan,Bologna,1 - 0,1.0568,0.4011,0,0,0,0,3,0,39,61,14,5,7,4
3,2025-09-14,Atalanta,Lecce,4 - 1,2.3411,0.5008,0,0,0,0,8,3,57,43,19,12,8,2
3,2025-09-13,Cagliari,Parma,2 - 0,1.3563999999999998,1.7833,0,0,0,0,5,5,51,49,12,17,4,5
3,2025-09-15,Como,Genoa,1 - 1,2.0989,2.3125,1,0,0,0,4,6,53,47,13,12,0,8
3,2025-09-13,Fiorentina,Napoli,1 - 3,2.1807999999999996,3.0048000000000004,0,0,0,0,3,9,53,47,19,14,8,5
3,2025-09-15,Hellas Verona,Cremonese,0 - 0,1.5299999999999998,0.31679999999999997,0,0,0,0,9,2,46,54,20,6,10,1
3,2025-09-13,Juventus,Inter,4 - 3,0.7183,1.0552,0,0,0,0,4,4,41,59,12,18,5,9
3,2025-09-14,Pisa,Udinese,0 - 1,0.6899000000000001,1.1544,0,0,0,0,2,3,51,49,12,13,8,6
3,2025-09-14,Roma,Torino,0 - 1,1.4732,0.6818,0,0,0,0,5,4,73,27,22,8,7,4
3,2025-09-14,Sassuolo,Lazio,1 - 0,1.1832,0.8008,0,0,0,0,3,3,41,59,10,13,3,7
4,2025-09-20,Bologna,Genoa,2 - 1,1.8891000000000002,0.6849,0,0,1,0,6,4,59,41,14,7,8,2
4,2025-09-21,Cremonese,Parma,0 - 0,0.09820000000000001,1.3309,0,0,0,0,1,3,52,48,3,15,3,3
4,2025-09-21,Fiorentina,Como,1 - 2,0.4232,1.2662,0,0,0,0,1,7,39,61,8,19,2,6
4,2025-09-20,Hellas Verona,Juventus,1 - 1,1.5679,0.45330000000000004,0,0,1,0,4,4,28,72,14,10,5,3
4,2025-09-21,Inter,Sassuolo,2 - 1,2.0951,0.5427,0,0,0,0,6,5,61,39,20,9,7,3
4,2025-09-21,Lazio,Roma,0 - 1,0.6555,1.4395,1,0,0,0,2,6,49,51,10,13,3,6
4,2025-09-19,Lecce,Cagliari,1 - 2,0.6781999999999999,2.1869,0,0,0,1,5,6,52,48,11,15,4,7
4,2025-09-22,Napoli,Pisa,3 - 2,1.5423999999999998,2.61,0,0,0,1,6,6,64,36,18,15,5,3
4,2025-09-21,Torino,Atalanta,0 - 3,1.3549,1.5263,0,0,1,0,5,5,39,61,11,9,1,0
4,2025-09-20,Udinese,AC Milan,0 - 3,0.4545,1.5352,0,0,0,0,4,6,40,60,10,13,1,4
5,2025-09-28,AC Milan,Napoli,2 - 1,0.9985,2.851,1,0,0,1,3,7,37,63,6,19,1,7
5,2025-09-27,Cagliari,Inter,0 - 2,0.20789999999999997,2.5845,0,0,0,0,0,5,42,58,6,20,4,4
5,2025-09-27,Como,Cremonese,1 - 1,1.1767,0.45649999999999996,1,0,0,0,6,2,58,42,14,9,4,3
5,2025-09-29,Genoa,Lazio,0 - 3,0.9763000000000001,2.6059,0,0,0,0,5,6,65,35,17,9,6,0
5,2025-09-27,Juventus,Atalanta,1 - 1,1.7324,1.0627,0,1,0,0,10,2,67,33,24,12,14,5
5,2025-09-28,Lecce,Bologna,2 - 2,1.6592,1.5845,0,0,0,1,4,5,33,67,12,14,3,9
5,2025-09-29,Parma,Torino,2 - 1,1.367,1.0261,0,0,1,0,2,4,37,63,13,15,4,3
5,2025-09-28,Pisa,Fiorentina,0 - 0,0.9463,1.2227,0,0,0,0,1,2,39,61,11,14,4,6
5,2025-09-28,Roma,Hellas Verona,2 - 0,0.8443,1.3857,0,0,0,0,5,3,57,43,10,12,8,1
5,2025-09-28,Sassuolo,Udinese,3 - 1,1.3943999999999999,1.0107,0,0,0,0,5,5,44,56,11,12,1,5
6,2025-10-04,Atalanta,Como,1 - 1,1.2779,0.9628,0,0,0,0,4,4,51,49,16,12,8,3
6,2025-10-05,Bologna,Pisa,4 - 0,3.1129000000000002,0.0416,0,1,0,0,7,0,71,29,24,2,2,2
6,2025-10-05,Fiorentina,Roma,1 - 2,1.0316,1.6297,0,0,0,0,3,3,45,55,11,8,3,4
6,2025-10-03,Hellas Verona,Sassuolo,0 - 1,1.2174,2.1351999999999998,0,0,0,1,9,3,58,42,17,11,4,2
6,2025-10-04,Inter,Cremonese,4 - 1,2.7173,0.6252,0,0,0,0,9,2,66,34,27,3,13,1
6,2025-10-05,Juventus,AC Milan,0 - 0,1.0828,1.9618,0,0,0,1,3,4,51,49,12,13,6,0
6,2025-10-04,Lazio,Torino,3 - 3,1.4456,1.6597000000000002,0,0,1,0,4,8,49,51,9,16,3,5
6,2025-10-05,Napoli,Genoa,2 - 1,1.7045,0.6094999999999999,0,0,0,0,5,1,69,31,12,6,7,5
6,2025-10-04,Parma,Lecce,0 - 1,0.6771,0.6159000000000001,0,0,0,0,2,3,63,37,10,7,4,9
6,2025-10-05,Udinese,Cagliari,1 - 1,2.8663,0.8844,0,0,0,0,4,2,60,40,23,8,7,2
7,2025-10-19,AC Milan,Fiorentina,2 - 1,2.159,1.1049,0,0,1,0,4,1,56,44,14,5,1,3
7,2025-10-19,Atalanta,Lazio,0 - 0,2.3842,0.33440000000000003,0,0,0,0,6,1,58,42,16,4,7,1
7,2025-10-19,Cagliari,Bologna,0 - 2,0.1716,0.8694,0,0,0,0,3,7,42,58,4,10,2,7
7,2025-10-19,Como,Juventus,2 - 0,1.3346,1.1732,0,0,0,0,6,3,45,55,12,15,4,1
