Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
1,2025-08-09,Antalyaspor,Kasımpaşa,2 - 1,1.3595,0.8567,0,0,0,0,6,2,37,63,16,10,3,3
1,2025-08-10,Eyüpspor,Konyaspor,1 - 4,1.8138999999999998,1.7904000000000002,0,0,0,1,3,5,63,37,16,16,8,7
1,2025-09-17,Fatih Karagümrük,İstanbul Başakşehir,0 - 2,0.5837,0.1845,0,0,0,0,2,1,48,52,6,4,3,4
1,2025-09-17,Fenerbahçe,Alanyaspor,2 - 2,3.3426,0.5475,0,0,1,0,7,2,62,38,19,5,8,0
1,2025-08-08,Gaziantep F.K.,Galatasaray,0 - 3,0.2011,2.7734,1,0,0,2,2,5,40,60,5,15,1,4
1,2025-09-24,Kayserispor,Beşiktaş,0 - 4,0.37470000000000003,1.7811,0,0,0,0,2,9,51,49,6,13,4,5
1,2025-08-10,Rizespor,Göztepe,0 - 3,1.5649000000000002,1.3384,0,0,0,0,1,4,56,44,13,17,3,5
1,2025-08-09,Samsunspor,Gençlerbirliği,2 - 1,1.3026,0.3631,0,0,1,0,3,1,62,38,9,8,2,3
1,2025-08-11,Trabzonspor,Kocaelispor,1 - 0,1.0129000000000001,0.8213999999999999,0,0,0,0,1,2,56,44,11,12,3,5
2,2025-08-16,Alanyaspor,Rizespor,0 - 0,0.7076,0.7289,0,0,0,0,1,3,43,57,9,7,3,1
2,2025-08-17,Beşiktaş,Eyüpspor,2 - 1,2.7077999999999998,1.2226,0,0,1,0,9,4,54,46,18,11,10,3
2,2025-08-15,Galatasaray,Fatih Karagümrük,3 - 0,3.3042999999999996,0.6308,0,1,0,0,8,2,72,28,28,6,10,3
2,2025-08-17,Gençlerbirliği,Antalyaspor,0 - 1,1.1285,0.6681,0,0,0,0,2,4,45,55,14,8,8,3
2,2025-08-16,Göztepe,Fenerbahçe,0 - 0,0.6606,1.8556000000000001,1,1,0,1,2,1,40,60,12,12,3,6
2,2025-08-18,Kasımpaşa,Trabzonspor,0 - 1,0.2256,1.1652,0,0,0,0,0,1,44,56,8,11,6,4
2,2025-08-16,Kocaelispor,Samsunspor,0 - 1,0.7465999999999999,0.7667999999999999,1,0,0,0,5,5,39,61,13,13,4,7
2,2025-08-17,Konyaspor,Gaziantep F.K.,3 - 0,1.9702000000000002,0.8681000000000001,0,0,0,0,7,1,50,50,15,17,2,6
2,2025-08-17,İstanbul Başakşehir,Kayserispor,1 - 1,1.1322,0.6449,0,0,0,0,4,3,57,43,13,9,5,7
3,2025-08-25,Eyüpspor,Alanyaspor,2 - 1,0.4839,1.3361,0,0,0,1,3,2,44,56,5,12,0,5
3,2025-08-22,Fatih Karagümrük,Göztepe,0 - 2,0.3412,1.4081000000000001,0,0,0,0,2,7,65,35,11,16,4,6
3,2025-08-23,Fenerbahçe,Kocaelispor,3 - 1,2.134,0.2679,0,0,0,0,7,1,57,43,21,7,6,0
3,2025-08-23,Gaziantep F.K.,Gençlerbirliği,2 - 1,2.5694,0.6607,0,1,1,0,4,3,71,29,25,7,10,4
3,2025-08-24,Kayserispor,Galatasaray,0 - 4,0.8553000000000001,2.7839,0,0,0,0,2,9,34,66,8,19,6,3
3,2025-10-22,Konyaspor,Beşiktaş,0 - 2,0.961,1.4608,0,0,0,0,3,4,71,29,22,9,17,3
3,2025-10-22,Rizespor,İstanbul Başakşehir,0 - 0,0.7165999999999999,1.1691,0,0,0,0,4,4,47,53,14,15,5,5
3,2025-09-17,Samsunspor,Kasımpaşa,0 - 0,1.2526,0.9716,0,0,0,0,3,4,60,40,10,17,5,4
3,2025-08-24,Trabzonspor,Antalyaspor,1 - 0,1.9625000000000001,0.6992999999999999,0,0,0,0,6,4,50,50,17,7,5,5
4,2025-08-31,Alanyaspor,Beşiktaş,2 - 0,1.4212000000000002,2.0195,0,0,1,0,3,4,37,63,9,15,2,6
4,2025-08-30,Antalyaspor,Fatih Karagümrük,1 - 2,0.6953,1.4472,0,0,0,0,5,6,49,51,8,17,7,4
4,2025-08-30,Galatasaray,Rizespor,3 - 1,1.8858000000000001,0.7402,0,0,0,0,7,4,65,35,16,9,5,2
4,2025-08-31,Gençlerbirliği,Fenerbahçe,1 - 3,1.1984,2.0114,0,0,0,0,3,3,38,62,9,13,3,3
4,2025-08-29,Göztepe,Konyaspor,1 - 1,1.9967,0.633,0,0,0,0,8,2,34,66,18,10,5,6
4,2025-08-30,Kasımpaşa,Gaziantep F.K.,2 - 3,2.165,0.7682,0,0,1,0,6,6,61,39,20,9,3,4
4,2025-08-30,Kocaelispor,Kayserispor,1 - 1,1.2168999999999999,0.732,0,0,0,0,4,2,43,57,10,12,4,7
4,2025-08-31,Trabzonspor,Samsunspor,1 - 1,0.7566,1.4533,0,0,0,0,3,4,55,45,9,13,2,10
4,2025-08-31,İstanbul Başakşehir,Eyüpspor,0 - 0,1.1172,0.5686000000000001,0,0,0,0,4,1,51,49,10,12,5,4
5,2025-09-13,Beşiktaş,İstanbul Başakşehir,2 - 1,2.2046,0.7068,1,1,0,0,6,4,53,47,21,11,10,5
5,2025-09-13,Eyüpspor,Galatasaray,0 - 2,0.399,2.5664,0,0,0,0,2,9,35,65,9,21,6,6
5,2025-09-13,Fatih Karagümrük,Kasımpaşa,0 - 1,0.9440999999999999,0.714,0,1,0,0,2,1,72,28,14,8,6,4
5,2025-09-14,Fenerbahçe,Trabzonspor,1 - 0,2.8783999999999996,0.0364,0,1,0,0,9,1,73,27,29,1,9,0
5,2025-09-14,Gaziantep F.K.,Kocaelispor,2 - 0,1.8311,0.18730000000000002,0,1,0,0,5,2,48,52,14,3,3,6
5,2025-09-14,Kayserispor,Göztepe,1 - 1,0.5905,0.5272,0,0,0,0,6,7,53,47,8,13,3,7
5,2025-09-13,Konyaspor,Alanyaspor,1 - 2,1.1078000000000001,0.7609,0,0,0,0,5,4,66,34,13,7,6,1
