Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
1,2025-08-09,Antalyaspor,Kasımpaşa,2 - 1,1.3595,0.8567,0,0,0,0,6,0,37,0,16,0,3,0
1,2025-08-10,Eyüpspor,Konyaspor,1 - 4,1.8138999999999998,1.7904000000000002,0,0,0,0,3,0,63,0,16,0,8,0
1,2025-09-17,Fatih Karagümrük,İstanbul Başakşehir,0 - 2,0.5837,0.1845,0,0,0,0,2,0,48,0,6,0,3,0
1,2025-09-17,Fenerbahçe,Alanyaspor,2 - 2,3.3426,0.5475,0,0,1,0,7,0,62,0,19,0,8,0
1,2025-08-08,Gaziantep F.K.,Galatasaray,0 - 3,0.2011,2.7734,1,0,0,0,2,0,40,0,5,0,1,0
1,2025-09-24,Kayserispor,Beşiktaş,0 - 4,0.37470000000000003,1.7811,0,0,0,0,2,0,51,0,6,0,4,0
1,2025-08-10,Rizespor,Göztepe,0 - 3,1.5649000000000002,1.3384,0,0,0,0,1,0,56,0,13,0,3,0
1,2025-08-09,Samsunspor,Gençlerbirliği,2 - 1,1.3026,0.3631,0,0,1,0,3,0,62,0,9,0,2,0
1,2025-08-11,Trabzonspor,Kocaelispor,1 - 0,1.0129000000000001,0.8213999999999999,0,0,0,0,1,0,56,0,11,0,3,0
2,2025-08-16,Alanyaspor,Rizespor,0 - 0,0.7076,0.7289,0,0,0,0,1,0,43,0,9,0,3,0
2,2025-08-17,Beşiktaş,Eyüpspor,2 - 1,2.7077999999999998,1.2226,0,0,1,0,9,0,54,0,18,0,10,0
2,2025-08-15,Galatasaray,Fatih Karagümrük,3 - 0,3.3042999999999996,0.6308,0,0,0,0,8,0,72,0,28,0,10,0
2,2025-08-17,Gençlerbirliği,Antalyaspor,0 - 1,1.1285,0.6681,0,0,0,0,2,0,45,0,14,0,8,0
2,2025-08-16,Göztepe,Fenerbahçe,0 - 0,0.6606,1.8556000000000001,1,0,0,0,2,0,40,0,12,0,3,0
2,2025-08-18,Kasımpaşa,Trabzonspor,0 - 1,0.2256,1.1652,0,0,0,0,0,0,44,0,8,0,6,0
2,2025-08-16,Kocaelispor,Samsunspor,0 - 1,0.7465999999999999,0.7667999999999999,1,0,0,0,5,0,39,0,13,0,4,0
2,2025-08-17,Konyaspor,Gaziantep F.K.,3 - 0,1.9702000000000002,0.8681000000000001,0,0,0,0,7,0,50,0,15,0,2,0
2,2025-08-17,İstanbul Başakşehir,Kayserispor,1 - 1,1.1322,0.6449,0,0,0,0,4,0,57,0,13,0,5,0
3,2025-08-25,Eyüpspor,Alanyaspor,2 - 1,0.4839,1.3361,0,0,0,0,3,0,44,0,5,0,0,0
3,2025-08-22,Fatih Karagümrük,Göztepe,0 - 2,0.3412,1.4081000000000001,0,0,0,0,2,0,65,0,11,0,4,0
3,2025-08-23,Fenerbahçe,Kocaelispor,3 - 1,2.134,0.2679,0,0,0,0,7,0,57,0,21,0,6,0
3,2025-08-23,Gaziantep F.K.,Gençlerbirliği,2 - 1,2.5694,0.6607,0,0,1,0,4,0,71,0,25,0,10,0
3,2025-08-24,Kayserispor,Galatasaray,0 - 4,0.8553000000000001,2.7839,0,0,0,0,2,0,34,0,8,0,6,0
3,2025-10-22,Konyaspor,Beşiktaş,0 - 2,0.961,1.4608,0,0,0,0,3,0,71,0,22,0,17,0
3,2025-10-22,Rizespor,İstanbul Başakşehir,0 - 0,0.7165999999999999,1.1691,0,0,0,0,4,0,47,0,14,0,5,0
3,2025-09-17,Samsunspor,Kasımpaşa,0 - 0,1.2526,0.9716,0,0,0,0,3,0,60,0,10,0,5,0
3,2025-08-24,Trabzonspor,Antalyaspor,1 - 0,1.9625000000000001,0.6992999999999999,0,0,0,0,6,0,50,0,17,0,5,0
4,2025-08-31,Alanyaspor,Beşiktaş,2 - 0,1.4212000000000002,2.0195,0,0,1,0,3,0,37,0,9,0,2,0
4,2025-08-30,Antalyaspor,Fatih Karagümrük,1 - 2,0.6953,1.4472,0,0,0,0,5,0,49,0,8,0,7,0
4,2025-08-30,Galatasaray,Rizespor,3 - 1,1.8858000000000001,0.7402,0,0,0,0,7,0,65,0,16,0,5,0
4,2025-08-31,Gençlerbirliği,Fenerbahçe,1 - 3,1.1984,2.0114,0,0,0,0,3,0,38,0,9,0,3,0
4,2025-08-29,Göztepe,Konyaspor,1 - 1,1.9967,0.633,0,0,0,0,8,0,34,0,18,0,5,0
4,2025-08-30,Kasımpaşa,Gaziantep F.K.,2 - 3,2.165,0.7682,0,0,1,0,6,0,61,0,20,0,3,0
4,2025-08-30,Kocaelispor,Kayserispor,1 - 1,1.2168999999999999,0.732,0,0,0,0,4,0,43,0,10,0,4,0
4,2025-08-31,Trabzonspor,Samsunspor,1 - 1,0.7566,1.4533,0,0,0,0,3,0,55,0,9,0,2,0
4,2025-08-31,İstanbul Başakşehir,Eyüpspor,0 - 0,1.1172,0.5686000000000001,0,0,0,0,4,0,51,0,10,0,5,0
5,2025-09-13,Beşiktaş,İstanbul Başakşehir,2 - 1,2.2046,0.7068,1,0,0,0,6,0,53,0,21,0,10,0
5,2025-09-13,Eyüpspor,Galatasaray,0 - 2,0.399,2.5664,0,0,0,0,2,0,35,0,9,0,6,0
5,2025-09-13,Fatih Karagümrük,Kasımpaşa,0 - 1,0.9440999999999999,0.714,0,0,0,0,2,0,72,0,14,0,6,0
5,2025-09-14,Fenerbahçe,Trabzonspor,1 - 0,2.8783999999999996,0.0364,0,0,0,0,9,0,73,0,29,0,9,0
5,2025-09-14,Gaziantep F.K.,Kocaelispor,2 - 0,1.8311,0.18730000000000002,0,0,0,0,5,0,48,0,14,0,3,0
5,2025-09-14,Kayserispor,Göztepe,1 - 1,0.5905,0.5272,0,0,0,0,6,0,53,0,8,0,3,0
5,2025-09-13,Konyaspor,Alanyaspor,1 - 2,1.1078000000000001,0.7609,0,0,0,0,5,0,66,0,13,0,6,0
5,2025-09-15,Rizespor,Gençlerbirliği,1 - 0,1.2949,1.2944,0,0,0,0,5,0,49,0,15,0,4,0
5,2025-09-13,Samsunspor,Antalyaspor,1 - 2,1.2643,0.556,0,0,0,0,3,0,63,0,16,0,6,0
6,2025-09-20,Antalyaspor,Kayserispor,1 - 1,0.717,0.85,0,0,0,0,6,0,53,0,13,0,10,0
6,2025-09-22,Galatasaray,Konyaspor,3 - 1,1.3862,1.1266999999999998,0,0,0,0,7,0,52,0,13,0,4,0
6,2025-09-20,Gençlerbirliği,Eyüpspor,1 - 0,1.0612,1.6137000000000001,0,0,0,0,4,0,34,0,11,0,2,0
