Hafta,Ev Sahibi,Deplasman,Skor,Ev Net Fırsat,Dep Net Fırsat
1,Antalyaspor,Kasımpaşa,0 - 0,1,1
1,Eyüpspor,Konyaspor,0 - 0,3,1
1,Fatih Karagümrük,İstanbul Başakşehir,0 - 0,0,0
1,Fenerbahçe,Alanyaspor,0 - 0,3,0
1,Gaziantep F.K.,Galatasaray,0 - 0,0,2
1,Kayserispor,Beşiktaş,0 - 0,1,2
1,Rizespor,Göztepe,0 - 0,3,1
1,Samsunspor,Gençlerbirliği,0 - 0,0,0
1,Trabzonspor,Kocaelispor,0 - 0,1,2
2,Alanyaspor,Rizespor,0 - 0,0,3
2,Beşiktaş,Eyüpspor,0 - 0,3,1
2,Galatasaray,Fatih Karagümrük,0 - 0,3,1
2,Gençlerbirliği,Antalyaspor,0 - 0,3,0
2,Göztepe,Fenerbahçe,0 - 0,0,2
2,Kasımpaşa,Trabzonspor,0 - 0,0,0
2,Kocaelispor,Samsunspor,0 - 0,2,2
2,Konyaspor,Gaziantep F.K.,0 - 0,2,0
2,İstanbul Başakşehir,Kayserispor,0 - 0,0,0
3,Eyüpspor,Alanyaspor,0 - 0,0,1
3,Fatih Karagümrük,Göztepe,0 - 0,0,2
3,Fenerbahçe,Kocaelispor,0 - 0,2,0
3,Gaziantep F.K.,Gençlerbirliği,0 - 0,1,0
3,Kayserispor,Galatasaray,0 - 0,1,5
3,Konyaspor,Beşiktaş,0 - 0,1,2
3,Rizespor,İstanbul Başakşehir,0 - 0,0,1
3,Samsunspor,Kasımpaşa,0 - 0,3,0
3,Trabzonspor,Antalyaspor,0 - 0,1,1
4,Alanyaspor,Beşiktaş,0 - 0,0,4
4,Antalyaspor,Fatih Karagümrük,0 - 0,2,3
4,Galatasaray,Rizespor,0 - 0,2,1
4,Gençlerbirliği,Fenerbahçe,0 - 0,1,1
4,Göztepe,Konyaspor,0 - 0,3,0
4,Kasımpaşa,Gaziantep F.K.,0 - 0,2,1
4,Kocaelispor,Kayserispor,0 - 0,3,1
4,Trabzonspor,Samsunspor,0 - 0,0,1
4,İstanbul Başakşehir,Eyüpspor,0 - 0,1,2
5,Beşiktaş,İstanbul Başakşehir,0 - 0,2,0
5,Eyüpspor,Galatasaray,0 - 0,0,2
5,Fatih Karagümrük,Kasımpaşa,0 - 0,0,2
5,Fenerbahçe,Trabzonspor,0 - 0,3,0
