Takim,PiyasaDegeri
Real Madrid,1338000000
Manchester City,1314500000
Arsenal,1229000000
Paris Saint Germain,1212500000
FC Barcelona,1167400000
Chelsea,1164050000
Liverpool,1024500000
FC Bayern München,968950000
Tottenham Hotspur,802500000
Manchester United,747150000
Newcastle United,708250000
Inter,636300000
Atlético Madrid,587000000
Nottingham Forest,568000000
Aston Villa,547500000
Juventus,544200000
Crystal Palace,541300000
AFC Bournemouth,507100000
Borussia Dortmund,498400000
Brighton & Hove Albion,494000000
AC Milan,483500000
RB Leipzig,471250000
Brentford,470400000
Sporting CP,466000000
Sporting Braga,466000000
Parma,454500000
Roma,454500000
Everton,450450000
Bayer 04 Leverkusen,449750000
Porto,426900000
Napoli,417300000
Atalanta,403100000
Monaco,391550000
Eintracht Frankfurt,388550000
Fulham,386950000
Olympique Marseille,386000000
VfB Stuttgart,383100000
Sunderland,381950000
Benfica,364500000
West Ham United,362950000
Strasbourg,361750000
Como,351700000
Leeds United,346025000
Galatasaray,344750000
Villarreal,286300000
PSV,283600000
Athletic Club,283000000
Olympique Lyonnais,282550000
Wolverhampton Wanderers,277100000
Bologna,275000000
Real Sociedad,272700000
LOSC Lille,271500000
Burnley,252650000
Real Betis,248800000
Fenerbahçe,247800000
TSG Hoffenheim,246100000
Fiorentina,243850000
Rennes,242200000
VfL Wolfsburg,234600000
Lazio,217550000
Feyenoord,214425000
Lens,193550000
SC Freiburg,191000000
Ajax,187150000
Beşiktaş,185100000
Sassuolo,184100000
Werder Bremen,176300000
Celta de Vigo,172900000
Parma Calcio,172500000
Nice,169100000
Hamburger SV,168775000
AZ,165875000
Valencia,163600000
FC Augsburg,159150000
SC Braga,154900000
Girona,153200000
Udinese,152550000
Genoa,150600000
Borussia Mönchengladbach,149300000
Toulouse,146050000
Cagliari,144900000
Sevilla,140400000
FSV Mainz 05,138700000
FC Köln,136850000
Torino,134900000
Paris,134350000
FC Union Berlin,124850000
Espanyol,124200000
Trabzonspor,114500000
Nantes,110850000
Rayo Vallecano,107300000
Pisa,106200000
Lorient,101250000
Osasuna,100800000
Lecce,93475000
Hellas Verona,93475000
Mallorca,89000000
Brest,88400000
Levante,86700000
Elche,85100000
Getafe,82900000
FC Utrecht,80600000
Auxerre,78550000
FC Twente,74250000
Le Havre,73000000
Angers SCO,72700000
Cremonese,72200000
İstanbul Başakşehir,72100000
Famalicão,71900000
St. Pauli,69650000
Deportivo Alavés,66900000
Heidenheim,64050000
Real Oviedo,63300000
Metz,62900000
Göztepe,57125000
NEC Nijmegen,53500000
Samsunspor,52350000
Estoril,45700000
SC Heerenveen,42475000
Rizespor,40000000
Konyaspor,38350000
Gil Vicente,36350000
Vitória Guimarães,36000000
FC Groningen,34000000
Rio Ave,33650000
Alverca,33550000
Santa Clara,33000000
Go Ahead Eagles,30075000
Gaziantep F.K.,30000000
Moreirense,29950000
Sparta Rotterdam,29150000
Kayserispor,27900000
Kasımpaşa,27750000
Gençlerbirliği,27250000
Arouca,26150000
Kocaelispor,25500000
Casa Pia,24800000
Tondela,24150000
PEC Zwolle,23350000
Nacional,22475000
Antalyaspor,22400000
Alanyaspor,22400000
Estrela Amadora,21000000
Fortuna Sittard,19725000
FC Volendam,17375000
Excelsior,15300000
Fatih Karagümrük,14850000
NAC Breda,14600000
Heracles Almelo,14400000
Eyüpspor,13750000
AVS,11550000
Telstar,11300000
