Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
1,2025-08-23,Bayer 04 Leverkusen,TSG Hoffenheim,1 - 2,0.996,0.6203,0,0,0,0,2,0,60,0,7,0,6,0,12.0,25.0,0.0,0.8,17.0,0.0
1,2025-08-24,Borussia Mönchengladbach,Hamburger SV,0 - 0,1.3094,0.4998,0,0,0,0,4,0,61,0,17,0,7,0,13.5,0.0,0.0,0.0,0.0,0.0
1,2025-08-23,Eintracht Frankfurt,Werder Bremen,4 - 1,2.3557,0.6893,0,0,0,0,5,0,53,0,18,0,7,0,0.0,7.0,6.0,0.0,13.5,14.0
1,2025-08-22,FC Bayern München,RB Leipzig,6 - 0,1.9459,0.7176,0,0,0,0,10,0,63,0,19,0,5,0,0.0,63.0,120.0,5.0,0.0,0.0
1,2025-08-23,FC Union Berlin,VfB Stuttgart,2 - 1,0.5825,1.936,0,0,0,0,2,0,25,0,8,0,5,0,4.0,0.0,0.0,0.0,2.0,0.0
1,2025-08-24,FSV Mainz 05,FC Köln,0 - 1,1.9467,1.1773,1,0,0,0,2,0,51,0,19,0,8,0,0.0,0.15,0.3,3.0,0.1,0.0
1,2025-08-23,Heidenheim,VfL Wolfsburg,1 - 3,0.8090999999999999,2.1578,0,0,0,0,2,0,49,0,7,0,2,0,4.0,0.5,0.0,0.0,0.0,0.0
1,2025-08-23,SC Freiburg,FC Augsburg,1 - 3,2.3185,1.5398,0,0,1,0,4,0,60,0,16,0,5,0,0.0,6.0,0.1,0.0,0.0,0.0
1,2025-08-23,St. Pauli,Borussia Dortmund,3 - 3,1.77,1.5555,0,0,1,0,7,0,51,0,11,0,5,0,1.2,3.8,1.5,0.0,63.0,0.0
2,2025-08-31,Borussia Dortmund,FC Union Berlin,3 - 0,1.9503,0.7005,0,0,0,0,6,0,65,0,11,0,4,0,0.0,59.0,0.0,4.0,0.0,0.0
2,2025-08-30,FC Augsburg,FC Bayern München,2 - 3,0.7808999999999999,2.6486,0,0,0,0,3,0,42,0,10,0,7,0,0.0,0.0,0.0,0.0,63.0,120.0
2,2025-08-31,FC Köln,SC Freiburg,4 - 1,2.0517,1.1568,0,0,0,0,6,0,39,0,18,0,3,0,0.0,0.1,0.0,0.0,6.0,0.1
2,2025-08-29,Hamburger SV,St. Pauli,0 - 2,0.2934,1.2488,1,0,0,0,2,0,48,0,5,0,2,0,0.0,0.0,0.0,1.2,0.8,1.5
2,2025-08-30,RB Leipzig,Heidenheim,2 - 0,2.6097,0.9981,0,0,0,0,5,0,66,0,19,0,4,0,5.0,0.0,0.0,4.0,0.5,0.0
2,2025-08-30,TSG Hoffenheim,Eintracht Frankfurt,1 - 3,1.3227,0.9848,0,0,0,0,5,0,58,0,17,0,4,0,0.8,7.0,0.0,0.0,7.0,0.0
2,2025-08-30,VfB Stuttgart,Borussia Mönchengladbach,1 - 0,0.8939999999999999,1.8513,0,0,0,0,5,0,51,0,13,0,6,0,0.0,15.0,0.0,13.5,0.0,0.0
2,2025-08-31,VfL Wolfsburg,FSV Mainz 05,1 - 1,0.6424,1.9435,1,0,0,0,3,0,40,0,11,0,3,0,0.0,0.0,0.0,0.0,0.15,0.0
2,2025-08-30,Werder Bremen,Bayer 04 Leverkusen,3 - 3,1.7051,1.8922,1,0,1,0,5,0,45,0,12,0,3,0,0.0,6.5,14.0,12.0,0.0,0.0
3,2025-09-12,Bayer 04 Leverkusen,Eintracht Frankfurt,3 - 1,2.1291,0.888,2,0,1,0,8,0,39,0,18,0,4,0,12.0,0.0,0.0,0.0,0.0,3.5
3,2025-09-14,Borussia Mönchengladbach,Werder Bremen,0 - 4,1.3587,1.8836,0,0,0,0,3,0,55,0,19,0,9,0,13.5,0.0,0.25,0.0,17.0,0.0
3,2025-09-13,FC Bayern München,Hamburger SV,5 - 0,2.7253,0.7661,0,0,1,0,12,0,71,0,22,0,5,0,0.0,63.0,120.0,1.0,6.5,0.0
3,2025-09-13,FC Union Berlin,TSG Hoffenheim,2 - 4,3.3154,2.8958,1,0,0,0,7,0,42,0,20,0,9,0,4.0,0.0,0.0,12.0,24.3,0.0
3,2025-09-13,FSV Mainz 05,RB Leipzig,0 - 1,1.1711,1.4063,0,0,0,0,2,0,56,0,13,0,3,0,8.0,0.15,17.3,0.0,9.0,0.0
3,2025-09-13,Heidenheim,Borussia Dortmund,0 - 2,0.4122,2.5023,1,0,0,0,1,0,25,0,6,0,5,0,4.0,0.5,0.25,0.0,63.0,0.0
3,2025-09-13,SC Freiburg,VfB Stuttgart,3 - 1,1.7658,0.7187000000000001,1,0,1,0,6,0,46,0,14,0,7,0,0.0,0.0,0.1,23.8,0.0,0.0
3,2025-09-14,St. Pauli,FC Augsburg,2 - 1,2.0959,0.6816000000000001,0,0,1,0,7,0,57,0,13,0,3,0,1.2,3.8,0.0,0.0,3.0,7.5
3,2025-09-13,VfL Wolfsburg,FC Köln,3 - 3,1.9888,1.5806999999999998,0,0,0,0,6,0,56,0,14,0,7,0,0.0,6.0,12.0,0.0,0.1,0.0
4,2025-09-21,Bayer 04 Leverkusen,Borussia Mönchengladbach,1 - 1,1.3823,0.8908999999999999,0,0,0,0,9,0,62,0,13,0,3,0,12.0,0.0,7.0,13.5,0.0,0.0
4,2025-09-21,Borussia Dortmund,VfL Wolfsburg,1 - 0,1.1259,0.7718999999999999,0,0,0,0,4,0,56,0,12,0,9,0,0.0,8.0,0.0,0.0,6.0,3.0
4,2025-09-21,Eintracht Frankfurt,FC Union Berlin,3 - 4,2.2424,1.3975,0,0,1,0,10,0,78,0,19,0,5,0,0.0,0.0,0.0,4.0,10.0,0.0
4,2025-09-20,FC Augsburg,FSV Mainz 05,1 - 4,1.1973,1.9807,0,0,0,0,5,0,61,0,18,0,6,0,0.0,3.0,7.5,8.0,0.15,2.3
4,2025-09-20,Hamburger SV,Heidenheim,2 - 1,2.6576,2.132199999999999,0,0,0,0,9,0,49,0,22,0,1,0,2.5,4.0,0.0,7.2,1.5,0.0
4,2025-09-20,RB Leipzig,FC Köln,3 - 1,3.5018,1.4908,0,0,0,0,8,0,47,0,18,0,9,0,0.0,9.0,0.0,0.0,0.1,0.0
4,2025-09-20,TSG Hoffenheim,FC Bayern München,1 - 4,0.8214,2.6837000000000004,0,0,0,0,4,0,38,0,13,0,5,0,34.0,24.3,0.0,0.0,98.0,120.0
4,2025-09-19,VfB Stuttgart,St. Pauli,2 - 0,2.0865,0.9357,0,0,1,0,8,0,54,0,17,0,8,0,27.3,2.0,0.0,1.2,3.0,0.0
4,2025-09-20,Werder Bremen,SC Freiburg,0 - 3,1.5184000000000002,1.7866,0,0,1,0,5,0,62,0,12,0,2,0,0.0,9.5,0.0,0.0,0.0,35.1
5,2025-09-27,Borussia Mönchengladbach,Eintracht Frankfurt,4 - 6,1.5241,2.3955,0,0,0,0,8,0,39,0,11,0,4,0,32.5,0.0,14.25,0.0,12.0,0.0
5,2025-09-26,FC Bayern München,Werder Bremen,4 - 0,3.5896,0.4094,0,0,1,0,13,0,59,0,26,0,7,0,0.0,113.0,120.0,0.5,27.0,0.0
5,2025-09-28,FC Köln,VfB Stuttgart,1 - 2,0.7557999999999999,2.0178,0,0,0,0,7,0,43,0,15,0,8,0,2.0,8.1,0.0,27.3,2.0,0.0
5,2025-09-28,FC Union Berlin,Hamburger SV,0 - 0,1.5157000000000005,1.3601,0,0,1,0,2,0,34,0,11,0,5,0,4.0,0.0,2.5,2.5,4.0,0.0
5,2025-09-27,FSV Mainz 05,Borussia Dortmund,0 - 2,0.5891000000000001,1.2648,1,0,0,0,2,0,49,0,8,0,7,0,8.0,10.15,0.0,0.0,4.0,0.0
5,2025-09-27,Heidenheim,FC Augsburg,2 - 1,1.3058,0.9273,0,0,0,0,5,0,48,0,11,0,3,0,7.2,1.5,0.0,0.0,1.0,7.5
5,2025-09-28,SC Freiburg,TSG Hoffenheim,1 - 1,1.2292999999999998,2.4157,0,0,0,0,1,0,43,0,6,0,6,0,8.0,12.0,35.1,12.0,24.3,0.0
5,2025-09-27,St. Pauli,Bayer 04 Leverkusen,1 - 2,0.8281000000000001,0.8874,0,0,0,0,6,0,49,0,13,0,13,0,1.2,3.0,1.5,27.0,0.0,30.0
5,2025-09-27,VfL Wolfsburg,RB Leipzig,0 - 1,2.8202000000000003,2.5595,0,0,0,0,4,0,51,0,22,0,6,0,5.0,6.0,3.0,0.0,18.0,10.0
6,2025-10-04,Bayer 04 Leverkusen,FC Union Berlin,2 - 0,2.3207000000000004,1.1254,0,0,0,0,3,0,74,0,20,0,4,0,12.0,0.0,30.0,4.0,0.0,2.5
6,2025-10-04,Borussia Dortmund,RB Leipzig,1 - 1,1.0711,1.276,0,0,0,0,3,0,50,0,15,0,7,0,0.0,4.0,0.0,0.0,18.0,10.0
6,2025-10-05,Borussia Mönchengladbach,SC Freiburg,0 - 0,0.9127,0.8593,0,0,0,0,5,0,53,0,9,0,4,0,23.5,0.0,0.0,8.0,0.0,0.1
6,2025-10-04,Eintracht Frankfurt,FC Bayern München,0 - 3,0.4699,1.6549999999999998,0,0,0,0,1,0,40,0,6,0,4,0,0.0,12.0,0.0,0.0,53.0,120.0
6,2025-10-04,FC Augsburg,VfL Wolfsburg,3 - 1,1.6882,1.3244,0,0,0,0,5,0,47,0,10,0,10,0,0.0,1.0,0.0,25.0,6.0,3.0
6,2025-10-05,Hamburger SV,FSV Mainz 05,4 - 0,1.6519,0.7949999999999999,0,0,0,0,9,0,35,0,15,0,1,0,1.0,4.0,18.0,0.0,11.15,0.0
6,2025-10-03,TSG Hoffenheim,FC Köln,0 - 1,1.3617,0.9759,0,0,0,0,4,0,61,0,15,0,11,0,12.0,24.3,0.0,2.0,8.1,0.0
6,2025-10-05,VfB Stuttgart,Heidenheim,1 - 0,1.3024000000000002,0.5093,0,0,0,0,6,0,64,0,18,0,1,0,27.3,2.0,0.0,7.2,1.5,0.0
6,2025-10-04,Werder Bremen,St. Pauli,1 - 0,1.8028,0.9655,0,0,0,0,5,0,41,0,15,0,4,0,0.0,27.0,0.0,1.2,3.0,1.5
7,2025-10-18,FC Bayern München,Borussia Dortmund,2 - 1,2.3404,1.4519000000000002,0,0,0,0,7,0,61,0,15,0,4,0,0.0,53.0,120.0,0.0,4.0,0.0
7,2025-10-18,FC Köln,FC Augsburg,1 - 1,0.628,1.1212,0,0,0,0,2,0,56,0,9,0,5,0,0.0,8.1,0.0,0.0,1.0,0.0
7,2025-10-17,FC Union Berlin,Borussia Mönchengladbach,3 - 1,1.9042000000000003,0.8254999999999999,0,0,0,0,5,0,37,0,16,0,6,0,4.0,0.0,2.5,13.5,0.0,0.0
7,2025-10-18,FSV Mainz 05,Bayer 04 Leverkusen,3 - 4,1.823,3.6482,0,0,1,0,4,0,42,0,12,0,2,0,0.0,11.15,0.0,0.0,45.0,30.0
7,2025-10-18,Heidenheim,Werder Bremen,2 - 2,3.1512,1.202,0,0,0,0,11,0,55,0,31,0,12,0,0.0,1.5,0.0,0.0,13.0,0.0
7,2025-10-18,RB Leipzig,Hamburger SV,2 - 1,1.2278,1.514,0,0,0,0,4,0,47,0,10,0,3,0,0.0,18.0,0.0,1.0,0.0,18.0
7,2025-10-19,SC Freiburg,Eintracht Frankfurt,2 - 2,1.4809,1.0058,0,0,0,0,5,0,51,0,12,0,3,0,8.0,0.0,0.1,0.0,0.0,0.0
7,2025-10-19,St. Pauli,TSG Hoffenheim,0 - 3,0.7687999999999999,1.8458,0,0,0,0,2,0,49,0,10,0,9,0,1.2,3.0,0.0,12.0,14.3,0.0
7,2025-10-18,VfL Wolfsburg,VfB Stuttgart,0 - 3,0.4605,1.633,0,0,0,0,3,0,41,0,11,0,3,0,5.0,6.0,3.0,1.8,2.0,0.0
8,2025-10-26,Bayer 04 Leverkusen,SC Freiburg,2 - 0,1.822,0.6976,0,0,0,0,4,0,69,0,19,0,2,0,0.0,0.0,30.0,8.0,0.0,0.1
8,2025-10-25,Borussia Dortmund,FC Köln,1 - 0,1.889,0.5854,0,0,0,0,9,0,70,0,27,0,17,0,0.0,4.0,0.0,0.0,8.1,0.0
8,2025-10-25,Borussia Mönchengladbach,FC Bayern München,0 - 3,0.79,2.7838000000000003,1,0,1,0,0,0,17,0,1,0,1,0,13.5,0.0,0.0,0.0,18.0,120.0
8,2025-10-25,Eintracht Frankfurt,St. Pauli,2 - 0,1.787,0.4004,0,0,0,0,6,0,51,0,10,0,1,0,0.0,0.0,0.0,1.2,3.0,0.0
8,2025-10-25,FC Augsburg,RB Leipzig,0 - 6,0.7342,2.2671,0,0,0,0,2,0,50,0,15,0,2,0,0.0,1.0,0.0,0.0,18.0,0.0
8,2025-10-25,Hamburger SV,VfL Wolfsburg,0 - 1,3.1710000000000003,0.5721,0,0,1,0,6,0,61,0,27,0,11,0,1.0,3.5,0.0,5.0,11.0,3.0
8,2025-10-25,TSG Hoffenheim,Heidenheim,3 - 1,2.1592,1.2516999999999998,0,0,0,0,7,0,60,0,14,0,7,0,12.0,14.3,0.0,3.3,1.5,0.0
8,2025-10-26,VfB Stuttgart,FSV Mainz 05,2 - 1,1.6798000000000002,1.7169,0,0,0,0,8,0,59,0,19,0,7,0,5.3,0.0,0.0,0.0,8.15,0.0
8,2025-10-24,Werder Bremen,FC Union Berlin,1 - 0,1.0851,0.6718,0,0,0,0,3,0,58,0,16,0,5,0,0.5,17.7,0.0,4.0,2.5,2.5
9,2025-10-31,FC Augsburg,Borussia Dortmund,0 - 1,0.9576,0.4347,0,0,0,0,1,0,47,0,9,0,4,0,0.0,1.0,0.0,0.0,0.0,0.0
9,2025-11-01,FC Bayern München,Bayer 04 Leverkusen,3 - 0,1.8573,0.5817,0,0,0,0,4,0,59,0,18,0,10,0,0.0,63.0,120.0,15.0,10.5,60.0
9,2025-11-02,FC Köln,Hamburger SV,4 - 1,2.7936,1.0546,0,0,0,0,10,0,48,0,23,0,2,0,5.0,10.6,0.0,1.0,3.5,0.0
9,2025-11-01,FC Union Berlin,SC Freiburg,0 - 0,1.2715,1.2688,0,0,0,0,2,0,37,0,11,0,5,0,4.0,0.0,2.5,8.0,12.0,12.1
9,2025-11-01,FSV Mainz 05,Werder Bremen,1 - 1,1.3809,0.5771,0,0,0,0,5,0,47,0,10,0,2,0,0.0,9.15,0.0,0.5,15.5,0.0
9,2025-11-01,Heidenheim,Eintracht Frankfurt,1 - 1,0.8087,1.1297,0,0,0,0,4,0,28,0,9,0,2,0,3.3,1.5,0.0,0.0,4.0,10.0
9,2025-11-01,RB Leipzig,VfB Stuttgart,3 - 1,1.8479,1.1518,0,0,0,0,9,0,42,0,16,0,5,0,0.0,18.0,0.0,27.3,2.3,0.0
9,2025-11-01,St. Pauli,Borussia Mönchengladbach,0 - 4,0.9393,2.6959000000000004,0,0,0,0,4,0,56,0,16,0,8,0,1.2,6.5,0.0,22.5,3.0,6.0
9,2025-11-02,VfL Wolfsburg,TSG Hoffenheim,2 - 3,0.8503999999999999,1.4571,0,0,0,0,6,0,48,0,12,0,2,0,5.0,13.0,3.0,12.0,14.3,0.0
10,2025-11-08,Bayer 04 Leverkusen,Heidenheim,6 - 0,3.4642,0.0947,0,0,0,0,10,0,74,0,25,0,11,0,15.0,10.5,30.0,3.3,1.5,0.0
10,2025-11-08,Borussia Mönchengladbach,FC Köln,3 - 1,2.545,2.4388,0,0,2,0,4,0,36,0,9,0,2,0,13.5,3.0,6.0,5.0,10.6,0.0
10,2025-11-09,Eintracht Frankfurt,FSV Mainz 05,1 - 0,1.1116,0.1069,0,0,0,0,4,0,56,0,14,0,4,0,0.0,4.0,55.0,0.0,9.15,0.0
